DEBT,NETWORTH,HOUSES,NFIN,ASSET
21300.0,83300.0,91000.0,96900.0,104600.0
10650.0,-50.0,0.0,6000.0,10600.0
10650.0,50.0,0.0,6100.0,10700.0
11650.0,-950.0,0.0,6100.0,10700.0
10650.0,50.0,0.0,6100.0,10700.0
11650.0,-950.0,0.0,6100.0,10700.0
13000.0,422740.0,0.0,435400.0,435740.0
13000.0,427030.0,0.0,439500.0,440030.0
13000.0,428920.0,0.0,441300.0,441920.0
13000.0,427830.0,0.0,440500.0,440830.0
13000.0,420830.0,0.0,433500.0,433830.0
119300.0,94600.0,145000.0,160800.0,213900.0
119300.0,93600.0,145000.0,159800.0,212900.0
119300.0,94600.0,145000.0,160800.0,213900.0
119300.0,94500.0,145000.0,160700.0,213800.0
119300.0,94600.0,145000.0,160800.0,213900.0
18000.0,39100.0,0.0,32000.0,57100.0
17000.0,40100.0,0.0,32000.0,57100.0
18000.0,39100.0,0.0,32000.0,57100.0
17900.0,39100.0,0.0,32000.0,57000.0
18000.0,40100.0,0.0,33000.0,58100.0
25150.0,-20560.0,0.0,3900.0,4590.0
25150.0,-20470.0,0.0,3900.0,4680.0
25140.0,-20770.0,0.0,3900.0,4370.0
25150.0,-20590.0,0.0,3900.0,4560.0
25140.0,-20520.0,0.0,3900.0,4620.0
1510.0,5440.0,0.0,6900.0,6950.0
1690.0,5260.0,0.0,6900.0,6950.0
1520.0,5430.0,0.0,6900.0,6950.0
1340.0,5610.0,0.0,6900.0,6950.0
1000.0,5950.0,0.0,6900.0,6950.0
250300.0,51600.0,250000.0,293000.0,301900.0
250300.0,51600.0,250000.0,293000.0,301900.0
250400.0,51500.0,250000.0,293000.0,301900.0
250400.0,51500.0,250000.0,293000.0,301900.0
250300.0,52600.0,250000.0,294000.0,302900.0
0.0,4250.0,0.0,2900.0,4250.0
0.0,4250.0,0.0,2900.0,4250.0
0.0,4350.0,0.0,3000.0,4350.0
0.0,4350.0,0.0,3000.0,4350.0
0.0,4350.0,0.0,3000.0,4350.0
0.0,10.0,0.0,0.0,10.0
0.0,5.0,0.0,0.0,5.0
0.0,5.0,0.0,0.0,5.0
